TreeDepth,PID,Process,SID,Name
0,4016,mfefire.exe,S-1-5-18,Local System
0,4016,mfefire.exe,S-1-5-32-544,Administrators
0,4016,mfefire.exe,S-1-1-0,Everyone
0,4016,mfefire.exe,S-1-5-11,Authenticated Users
0,4016,mfefire.exe,S-1-16-16384,System Mandatory Level
0,4064,mfehcs.exe,S-1-5-18,Local System
0,4064,mfehcs.exe,S-1-5-32-544,Administrators
0,4064,mfehcs.exe,S-1-1-0,Everyone
0,4064,mfehcs.exe,S-1-5-11,Authenticated Users
0,4064,mfehcs.exe,S-1-16-16384,System Mandatory Level
0,1892,mcshield.exe,S-1-5-18,Local System
0,1892,mcshield.exe,S-1-5-32-544,Administrators
0,1892,mcshield.exe,S-1-1-0,Everyone
0,1892,mcshield.exe,S-1-5-11,Authenticated Users
0,1892,mcshield.exe,S-1-16-16384,System Mandatory Level
0,4332,msdtc.exe,S-1-5-20,NT Authority
0,4332,msdtc.exe,S-1-16-16384,System Mandatory Level
0,4332,msdtc.exe,S-1-1-0,Everyone
0,4332,msdtc.exe,S-1-5-32-545,Users
0,4332,msdtc.exe,S-1-5-6,Service
0,4332,msdtc.exe,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,4332,msdtc.exe,S-1-5-11,Authenticated Users
0,4332,msdtc.exe,S-1-5-15,This Organization
0,4332,msdtc.exe,S-1-5-80-3960419045-2460139048-4046793004-1809597027-2250574426,MSDTC
0,4332,msdtc.exe,S-1-5-5-0-282308,Logon Session
0,4332,msdtc.exe,S-1-2-0,Local (Users with the ability to log in locally)
0,2860,OfficeClickToR,S-1-5-18,Local System
0,2860,OfficeClickToR,S-1-5-32-544,Administrators
0,2860,OfficeClickToR,S-1-1-0,Everyone
0,2860,OfficeClickToR,S-1-5-11,Authenticated Users
0,2860,OfficeClickToR,S-1-16-16384,System Mandatory Level
0,5252,AppVShNotify.e,S-1-5-18,Local System
0,5252,AppVShNotify.e,S-1-5-32-544,Administrators
0,5252,AppVShNotify.e,S-1-1-0,Everyone
0,5252,AppVShNotify.e,S-1-5-11,Authenticated Users
0,5252,AppVShNotify.e,S-1-16-16384,System Mandatory Level
0,5544,sihost.exe,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,5544,sihost.exe,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,5544,sihost.exe,S-1-1-0,Everyone
0,5544,sihost.exe,S-1-5-32-555,"BUILTIN\Remote Desktop Users"
0,5544,sihost.exe,S-1-5-32-545,Users
0,5544,sihost.exe,S-1-5-4,Interactive
0,5544,sihost.exe,S-1-2-1,Console Logon (Users who are logged onto the physical console)
0,5544,sihost.exe,S-1-5-11,Authenticated Users
0,5544,sihost.exe,S-1-5-15,This Organization
0,5544,sihost.exe,S-1-5-5-0-827224,Logon Session
0,5544,sihost.exe,S-1-2-0,Local (Users with the ability to log in locally)
0,5544,sihost.exe,S-1-5-21-3445421715-2530590580-3149308974-1187,-
0,5544,sihost.exe,S-1-18-1,Authentication Authority Asserted Identity
0,5544,sihost.exe,S-1-16-8192,Medium Mandatory Level
0,5576,svchost.exe,S-1-5-21-3445421715-2530590580-3149308974-1116,tdungan
0,5576,svchost.exe,S-1-5-21-3445421715-2530590580-3149308974-513,Domain Users
0,5576,svchost.exe,S-1-1-0,Everyone
